time	V(clk)	V(d)	V(q)	V(r)
9.000122984476791e-008	1.386279e+000	1.800000e+000	-1.960127e-002	1.800000e+000
9.000153630445843e-008	8.346519e-001	1.800000e+000	-4.868167e-002	1.800000e+000
9.000167527446477e-008	5.845060e-001	1.800000e+000	-6.232553e-002	1.800000e+000
9.000195321447745e-008	8.421394e-002	1.800000e+000	-8.919129e-002	1.800000e+000
9.000200000000001e-008	0.000000e+000	1.800000e+000	-9.354723e-002	1.800000e+000
9.000200949476601e-008	0.000000e+000	1.800000e+000	-9.332347e-002	1.800000e+000
9.000202848429799e-008	0.000000e+000	1.800000e+000	-9.287723e-002	1.800000e+000
9.000214242148989e-008	0.000000e+000	1.800000e+000	-9.024424e-002	1.800000e+000
9.000229433774577e-008	0.000000e+000	1.800000e+000	-8.684991e-002	1.800000e+000
9.000259817025751e-008	0.000000e+000	1.800000e+000	-8.043864e-002	1.800000e+000
9.000320583528101e-008	0.000000e+000	1.800000e+000	-6.897949e-002	1.800000e+000
9.000442116532798e-008	0.000000e+000	1.800000e+000	-5.052861e-002	1.800000e+000
9.000685182542192e-008	0.000000e+000	1.800000e+000	-2.591298e-002	1.800000e+000
9.001171314560981e-008	0.000000e+000	1.800000e+000	-2.242679e-003	1.800000e+000
9.002143578598560e-008	0.000000e+000	1.800000e+000	1.125029e-002	1.800000e+000
9.003040443220498e-008	0.000000e+000	1.800000e+000	1.144738e-002	1.800000e+000
9.004666160964397e-008	0.000000e+000	1.800000e+000	6.459931e-003	1.800000e+000
9.006637171676033e-008	0.000000e+000	1.800000e+000	1.563512e-003	1.800000e+000
9.008762791121412e-008	0.000000e+000	1.800000e+000	-8.303554e-004	1.800000e+000
9.011080220862505e-008	0.000000e+000	1.800000e+000	-1.027839e-003	1.800000e+000
9.013714630272189e-008	0.000000e+000	1.800000e+000	-6.581190e-004	1.800000e+000
9.015506754061828e-008	0.000000e+000	1.800000e+000	-4.544477e-004	1.800000e+000
9.017664799756348e-008	0.000000e+000	1.800000e+000	-2.694268e-004	1.800000e+000
9.020084919614723e-008	0.000000e+000	1.800000e+000	-1.548448e-004	1.800000e+000
9.022732205496077e-008	0.000000e+000	1.800000e+000	-9.539876e-005	1.800000e+000
9.026850879985572e-008	0.000000e+000	1.800000e+000	-4.810918e-005	1.800000e+000
9.034018630359340e-008	0.000000e+000	1.800000e+000	-1.249032e-005	1.800000e+000
9.044018630359340e-008	0.000000e+000	1.800000e+000	-1.220708e-006	1.800000e+000
9.054018630359339e-008	0.000000e+000	1.800000e+000	5.300345e-008	1.800000e+000
9.064018630359339e-008	0.000000e+000	1.800000e+000	-3.313382e-009	1.800000e+000
9.074018630359338e-008	0.000000e+000	1.800000e+000	1.675392e-008	1.800000e+000
9.206287397450722e-008	0.000000e+000	1.800000e+000	1.313237e-008	1.800000e+000
9.338556164542106e-008	0.000000e+000	1.800000e+000	1.033330e-008	1.800000e+000
9.470824931633489e-008	0.000000e+000	1.800000e+000	8.356718e-009	1.800000e+000
9.603093698724873e-008	0.000000e+000	1.800000e+000	7.202628e-009	1.800000e+000
9.735362465816257e-008	0.000000e+000	1.800000e+000	6.871026e-009	1.800000e+000
9.867631232907640e-008	0.000000e+000	1.800000e+000	7.361912e-009	1.800000e+000
9.999899999999024e-008	0.000000e+000	1.800000e+000	8.675288e-009	1.800000e+000
1.000000000000000e-007	0.000000e+000	1.800000e+000	8.675288e-009	1.800000e+000
1.000000579077881e-007	1.042340e-001	1.800000e+000	7.259876e-003	1.800000e+000
1.000001737233643e-007	3.127021e-001	1.800000e+000	2.152930e-002	1.800000e+000
1.000004053545166e-007	7.296382e-001	1.800000e+000	4.913956e-002	1.800000e+000
1.000006168161744e-007	1.110269e+000	1.800000e+000	7.285962e-002	1.800000e+000
1.000010000000000e-007	1.800000e+000	1.800000e+000	1.134304e-001	1.800000e+000
1.000010383183826e-007	1.800000e+000	1.800000e+000	1.117357e-001	1.731027e+000
1.000011149551477e-007	1.800000e+000	1.800000e+000	1.083681e-001	1.593081e+000
1.000012682286780e-007	1.800000e+000	1.800000e+000	1.017073e-001	1.317188e+000
1.000015747757385e-007	1.800000e+000	1.800000e+000	8.899286e-002	7.654037e-001
1.000019333551330e-007	1.800000e+000	1.800000e+000	7.537460e-002	1.199608e-001
1.000020000000000e-007	1.800000e+000	1.800000e+000	7.303638e-002	0.000000e+000
1.000020132693239e-007	1.800000e+000	1.800000e+000	7.277928e-002	0.000000e+000
1.000020398079716e-007	1.800000e+000	1.800000e+000	7.226691e-002	0.000000e+000
1.000020928852670e-007	1.800000e+000	1.800000e+000	7.125106e-002	0.000000e+000
1.000021990398579e-007	1.800000e+000	1.800000e+000	6.925546e-002	0.000000e+000
1.000024113490397e-007	1.800000e+000	1.800000e+000	6.540556e-002	0.000000e+000
1.000028359674032e-007	1.800000e+000	1.800000e+000	5.824305e-002	0.000000e+000
1.000036852041303e-007	1.800000e+000	1.800000e+000	4.583549e-002	0.000000e+000
1.000053836775844e-007	1.800000e+000	1.800000e+000	2.709582e-002	0.000000e+000
1.000087806244926e-007	1.800000e+000	1.800000e+000	4.879653e-003	0.000000e+000
1.000148431716682e-007	1.800000e+000	1.800000e+000	-1.138919e-002	0.000000e+000
1.000204261275197e-007	1.800000e+000	1.800000e+000	-1.337980e-002	0.000000e+000
1.000315920392226e-007	1.800000e+000	1.800000e+000	-7.961610e-003	0.000000e+000
1.000458333403117e-007	1.800000e+000	1.800000e+000	-2.031206e-003	0.000000e+000
1.000599293428689e-007	1.800000e+000	1.800000e+000	7.455189e-004	0.000000e+000
1.000765201998320e-007	1.800000e+000	1.800000e+000	6.327187e-004	0.000000e+000
1.000932447900428e-007	1.800000e+000	1.800000e+000	-4.011807e-004	0.000000e+000
1.001150477523194e-007	1.800000e+000	1.800000e+000	-6.782293e-004	0.000000e+000
1.001348968594918e-007	1.800000e+000	1.800000e+000	-4.449862e-004	0.000000e+000
1.001537423225353e-007	1.800000e+000	1.800000e+000	-3.102969e-004	0.000000e+000
